AS,IPv4_Num
AS35506,15360
AS43289,15360
AS45305,15360
AS49392,15360
AS60969,15360
AS62214,15360
AS64315,15360
AS11831,15104
AS142002,15104
AS142036,15104
AS14343,15104
AS20647,15104
AS26097,15104
AS27482,15104
AS28327,15104
AS30815,15104
AS37497,15104
AS38532,15104
AS52026,15104
AS58982,15104
AS6498,15104
AS9294,15104
AS10022,14848
AS142111,14848
AS18886,14848
AS19133,14848
AS19693,14848
AS198203,14848
AS200044,14848
AS202492,14848
AS202779,14848
AS21069,14848
AS22747,14848
AS25518,14848
AS31424,14848
AS34636,14848
AS35937,14848
AS38477,14848
AS44128,14848
AS51659,14848
AS57367,14848
AS61889,14848
AS62319,14848
AS7453,14848
AS15954,14592
AS16141,14592
AS202425,14592
AS21501,14592
AS30860,14592
AS32421,14592
AS34282,14592
AS42442,14592
AS44043,14592
AS55145,14592
AS62442,14592
AS8280,14592
AS9188,14592
AS12021,14336
AS12178,14336
AS13284,14336
AS15317,14336
AS197226,14336
AS199061,14336
AS200185,14336
AS213250,14336
AS22878,14336
AS24776,14336
AS262462,14336
AS262790,14336
AS27552,14336
AS28676,14336
AS31333,14336
AS32701,14336
AS328475,14336
AS36985,14336
AS39923,14336
AS40281,14336
AS45079,14336
AS45634,14336
AS45706,14336
AS8553,14336
AS9835,14336
AS135944,14080
AS201106,14080
AS206264,14080
AS212335,14080
AS21350,14080
AS24016,14080
AS24183,14080
AS43545,14080
AS44592,14080
AS46010,14080
AS4658,14080
AS48943,14080
AS57494,14080
AS61272,14080
AS8943,14080
AS12333,13824
AS14792,13824
AS15372,13824
AS197133,13824
AS197450,13824
AS202914,13824
AS20326,13824
AS21699,13824
AS21922,13824
AS22054,13824
AS38067,13824
AS40824,13824
AS46015,13824
AS4785,13824
AS49282,13824
AS5398,13824
AS54588,13824
AS54665,13824
AS60631,13824
AS60672,13824
AS63997,13824
AS1100,13568
AS1126,13568
AS11767,13568
AS138571,13568
AS14636,13568
AS15401,13568
AS15590,13568
AS197922,13568
AS200548,13568
AS26326,13568
AS29527,13568
AS32875,13568
AS400238,13568
AS47196,13568
AS47987,13568
AS48147,13568
AS51219,13568
AS51859,13568
AS57037,13568
AS58621,13568
AS8925,13568
AS10747,13312
AS12521,13312
AS13039,13312
AS13054,13312
AS136209,13312
AS13739,13312
AS138995,13312
AS14544,13312
AS16076,13312
AS18070,13312
AS197036,13312
AS206150,13312
AS206804,13312
AS20799,13312
AS21788,13312
AS24527,13312
AS26935,13312
AS28236,13312
AS28847,13312
AS29452,13312
AS30170,13312
AS30247,13312
AS3213,13312
AS327979,13312
AS3399,13312
AS394996,13312
AS41079,13312
AS41264,13312
AS43503,13312
AS46516,13312
AS54155,13312
AS56910,13312
AS58256,13312
AS59437,13312
AS9744,13312
AS14589,13056
AS197155,13056
AS20128,13056
AS20751,13056
AS23535,13056
AS23686,13056
AS24785,13056
AS38930,13056
AS398779,13056
AS400464,13056
AS55313,13056
AS14472,12800
AS16024,12800
AS210403,12800
AS21500,12800
AS25694,12800
AS25795,12800
AS29081,12800
AS30870,12800
AS328112,12800
AS3342,12800
AS34702,12800
AS37684,12800
AS394711,12800
AS398395,12800
AS400618,12800
AS400909,12800
AS41111,12800
AS41364,12800
AS47890,12800
AS49126,12800
AS50785,12800
AS51184,12800
AS56971,12800
AS60077,12800
AS12594,12544
AS132925,12544
AS139659,12544
AS205917,12544
AS20915,12544
AS209181,12544
AS24195,12544
AS25766,12544
AS25867,12544
AS26076,12544
AS26277,12544
AS28924,12544
AS29884,12544
AS38733,12544
AS396097,12544
AS47143,12544
AS48678,12544
AS48846,12544
AS49037,12544
AS58640,12544
AS58965,12544
AS60610,12544
AS62864,12544
AS6421,12544
AS8916,12544
AS11357,12288
AS12028,12288
AS12154,12288
AS12931,12288
AS13694,12288
AS138152,12288
AS140096,12288
AS14240,12288
AS18119,12288
AS197013,12288
AS203160,12288
AS211101,12288
AS211373,12288
AS25146,12288
AS254,12288
AS26042,12288
AS28177,12288
AS31472,12288
AS34660,12288
AS35236,12288
AS35491,12288
AS395973,12288
AS399629,12288
AS40728,12288
AS41412,12288
AS42943,12288
AS44565,12288
AS47913,12288
AS55388,12288
