AS,IPv4_Num
AS131111,114176
AS131965,113920
AS22612,113920
AS5394,113152
AS5539,112384
AS12337,111360
AS209242,111360
AS139070,111104
AS47764,110592
AS25184,109312
AS25653,109312
AS46844,109312
AS54253,109312
AS5606,109312
AS5602,107776
AS197695,107520
AS10439,106752
AS29522,106752
AS33182,106240
AS37282,105984
AS44574,105984
AS15623,105728
AS37717,105728
AS47886,105472
AS142062,105216
AS43513,104960
AS33425,104704
AS54103,104704
AS6700,103424
AS24867,103168
AS42973,102144
AS20141,101888
AS398993,101888
AS55803,101888
AS327839,101376
AS9044,100608
AS19092,100352
AS52361,100096
AS59371,99840
AS138195,98304
AS23779,98304
AS12637,97792
AS4961,97536
AS25369,97280
AS11042,97024
AS29182,97024
AS58065,97024
AS49531,96768
AS29863,96512
AS42831,96512
AS60068,96512
AS133847,96256
AS40021,96256
AS9925,96256
AS32097,95744
AS30781,95232
AS10212,94976
AS6315,94976
AS14135,94720
AS10297,92928
AS44407,92672
AS59078,92416
AS8820,92416
AS1764,91904
AS29278,91904
AS33398,91904
AS21221,91648
AS31257,91648
AS55303,91648
AS58061,91648
AS58658,91136
AS9186,91136
AS9993,91136
AS24134,90880
AS34665,89856
AS37315,89856
AS28753,89600
AS9584,89600
AS198610,89344
AS212317,89344
AS24282,89088
AS37504,89088
AS48635,88576
AS1294,87552
AS19089,87552
AS57809,87552
AS23470,87296
AS27589,87040
AS55720,87040
AS8492,87040
AS200484,86784
AS19437,86528
AS11921,86272
AS199524,86272
AS3327,86272
AS18097,85760
AS28890,85760
AS32592,85760
AS30475,85248
AS53850,85248
AS715,85248
AS27411,84992
AS35985,84992
AS29748,83968
AS56019,83968
AS29550,83712
AS10118,83456
AS18229,83456
AS54825,83456
AS23884,83200
AS34762,83200
AS203329,82944
AS25447,82944
AS29873,82176
AS25227,81920
AS42525,81920
AS4662,81920
AS139341,81152
AS25956,81152
AS38731,80896
AS49981,80384
AS13886,80128
AS16097,80128
AS24586,79872
AS32653,79872
AS61323,79872
AS31115,79104
AS34086,79104
AS19662,78848
AS133296,78336
AS32323,78336
AS3262,78080
AS31727,77824
AS41960,77824
AS6364,77312
AS25543,77056
AS27495,77056
AS29311,77056
AS137280,76800
AS19255,76800
AS38901,76800
AS41798,76544
AS8648,76544
AS15694,75776
AS2033,75776
AS30083,75776
AS46450,75776
AS8685,75776
AS9273,75776
AS14745,75520
AS8595,75520
AS216071,75264
AS140227,75008
AS34549,75008
AS11333,74752
AS12926,74752
AS142032,74752
AS16247,74752
AS18530,74752
AS3223,74752
AS16839,74496
AS42473,74496
AS6921,74496
AS8304,74496
AS8391,74240
AS945,74240
AS8741,73984
AS11194,73728
AS38719,73728
AS5523,73728
AS33724,73472
AS204957,73216
AS47292,73216
AS25577,72960
AS14840,72704
AS15164,72704
AS3911,72704
AS28299,72192
AS51747,72192
AS64208,72192
AS8867,72192
AS19554,71680
AS35366,71680
AS63295,71680
AS9268,71424
AS35816,71168
AS6319,71168
AS50673,70656
AS135373,70400
AS20811,70400
AS13354,70144
AS54641,69888
